x,y,yaw
1.902,-5.698,2.839688
1.402,1.902,-0.800027
-2.348,0.052,-1.427062
-4.748,-0.798,1.038689
2.252,-0.148,1.494172
-5.898,-2.048,-2.599567
-6.548,5.502,0.213114
-4.648,-0.548,1.601236
2.452,3.202,0.902249
-1.448,-0.498,-0.181196
-5.748,4.402,1.809694
-5.598,1.202,1.415426
-3.298,0.352,1.338206
1.152,0.702,-1.848647
1.352,-3.398,-2.953699
-1.998,0.602,-1.342665
2.102,0.502,2.405574
1.702,-0.548,-2.792781
-0.348,0.252,-1.724331
1.752,-5.548,-0.477502
-6.048,2.852,-0.335766
-1.348,0.802,1.245313
0.552,-0.348,1.960496
0.752,0.252,-1.774906
-6.448,2.102,0.230196
2.352,2.002,-2.108609
-4.948,0.802,-0.858178
-5.698,1.252,0.794114
0.152,0.952,-0.664335
-4.148,-0.748,-0.475147
-5.298,2.002,-0.337318
1.502,-5.948,-2.069213
2.552,-6.448,-1.648591
-5.298,-1.248,0.847826
-2.898,0.002,2.709603
-0.148,-0.748,2.886856
-5.548,-1.448,1.900523
-5.998,4.602,1.503328
-0.748,-0.298,2.14636
-1.748,0.902,1.970802
1.502,-0.048,1.764209
-5.198,-2.298,-2.955187
1.402,1.502,-2.458505
-1.398,0.352,0.469244
2.552,3.952,-0.164
1.202,-2.598,0.203152
2.302,-5.298,-0.935095
-4.698,0.652,-1.536344
1.702,-0.598,2.168163
1.002,-0.048,-2.631055
-5.298,1.452,2.05951
1.802,-6.198,-0.407704
-6.498,-3.498,0.249032
-2.398,0.852,-1.48643
-1.998,-0.648,1.732877
-6.248,-0.198,-0.186925
-5.898,0.402,-1.395688
-4.448,0.752,-1.479952
1.252,2.852,-2.62124
-5.148,0.802,-1.870302
0.752,0.052,-2.274214
-6.298,-3.348,-1.003023
2.552,1.352,-1.127529
-3.798,-0.748,1.765433
-5.148,-2.198,-1.397429
-4.998,-2.648,-2.798056
-4.848,-1.548,-2.756365
0.902,1.352,-0.892034
1.852,-1.248,0.863342
1.552,-6.498,-0.971261
1.602,-0.748,-2.870551
-0.698,-0.498,-2.943171
-5.498,-1.298,-2.348366
-6.098,3.152,2.869352
-6.048,0.102,-2.571793
0.102,0.702,1.648824
-5.348,4.002,0.240778
-2.148,-0.348,-0.541239
2.602,-3.198,-2.338645
1.752,-5.348,-1.212228
1.702,1.152,-3.029424
-6.598,1.752,0.769237
1.052,-0.598,1.61115
2.052,2.252,2.191394
1.402,2.002,3.02715
1.852,-1.448,-2.160163
-3.248,-0.398,-0.091465
1.952,-6.198,0.29166
-4.948,-3.248,1.750356
-5.398,4.252,-1.933589
2.102,-1.898,-0.550209
-5.948,4.852,3.030509
2.402,-3.548,1.40988
1.602,-0.448,0.614583
0.752,0.152,-0.007657
-5.648,2.452,1.925163
1.952,-2.598,-0.482286
0.852,3.102,-0.075341
-6.198,2.452,-1.64017
-6.448,1.202,2.022498
