x,y,yaw,,,,
-4.789,1.572,0.923173,,,,
-4.989,4.522,0.791775,,,,
1.761,3.572,-1.049609,,,,
2.061,-4.228,-2.80887,,,,
1.111,-1.378,-2.776956,,,,
2.361,-7.978,2.272823,,,,
1.261,7.272,-2.661819,,,,
2.461,0.972,-2.60649,,,,
-5.289,-6.528,-2.047039,,,,
1.911,2.272,2.463677,,,,
1.761,-5.978,1.632614,,,,
-5.489,-8.678,0.502709,,,,
-6.289,-0.828,0.715338,,,,
-6.039,4.772,-2.063852,,,,
-2.289,0.322,2.941123,,,,
-6.339,4.022,0.410722,,,,
1.711,-8.778,0.049778,,,,
2.161,3.422,0.131114,,,,
-6.239,2.172,-1.83241,,,,
1.011,5.522,0.811094,,,,
1.161,-1.028,-1.544912,,,,
-5.539,6.322,-0.021006,,,,
-4.939,-5.628,-2.356406,,,,
2.361,7.022,-0.269168,,,,
1.361,5.722,2.192906,,,,
-4.889,-6.178,-2.486656,,,,
2.261,0.822,-2.666766,,,,
-5.139,-0.478,-2.696729,,,,
-5.639,-7.978,2.782249,,,,
-6.439,-0.028,0.139322,,,,
2.011,-4.428,-0.611383,,,,
-5.439,7.322,1.878215,,,,
-6.239,-5.528,2.910801,,,,
0.261,-0.028,0.806304,,,,
1.461,0.122,1.322824,,,,
2.261,-6.928,1.250715,,,,
-5.139,-4.028,2.137664,,,,
-6.289,5.872,-2.991984,,,,
1.661,4.372,-0.648776,,,,
-5.839,0.172,-2.812235,,,,
1.511,2.622,-0.582441,,,,
-6.189,-6.778,2.570115,,,,
2.411,4.422,-2.939844,,,,
-5.789,-3.978,1.995159,,,,
1.161,2.622,1.198039,,,,
1.461,-2.278,2.049315,,,,
-5.539,0.772,-2.820997,,,,
-0.289,-0.828,0.372378,,,,
2.561,3.272,0.100741,,,,
2.261,4.922,-1.663402,,,,
-0.139,0.822,1.151206,,,,
-4.839,6.422,-2.316609,,,,
1.011,-7.028,0.312717,,,,
-6.439,-6.978,-2.901727,,,,
-1.589,-0.778,-0.102515,,,,
-6.539,-1.178,3.102327,,,,
-6.439,-6.378,-0.947925,,,,
1.761,-1.828,0.943573,,,,
-5.939,-4.178,-0.674573,,,,
-6.189,-7.328,-2.530046,,,,
2.211,-0.378,0.202361,,,,
-1.789,-0.178,-0.976576,,,,
-6.039,0.772,-0.858722,,,,
1.611,1.272,-1.994369,,,,
2.511,-4.378,-2.66226,,,,
2.311,-6.478,-2.7876,,,,
2.361,5.972,1.846189,,,,
-4.939,-3.628,1.907168,,,,
1.111,-3.328,-0.080227,,,,
1.561,1.772,0.067478,,,,
-4.889,-1.978,2.066532,,,,
-6.289,-6.928,-1.799328,,,,
-4.939,2.322,0.193549,,,,
0.961,-2.428,0.732081,,,,
1.161,-3.428,-0.94416,,,,
-5.689,6.722,-1.711072,,,,
2.311,1.222,0.996456,,,,
-6.089,3.672,-2.791562,,,,
-6.289,-5.278,1.479536,,,,
2.261,3.022,0.091256,,,,
1.811,-7.078,-1.160393,,,,
2.111,-3.328,2.708574,,,,
2.311,2.722,1.468462,,,,
1.761,1.772,-2.150836,,,,
-4.239,0.172,-0.307813,,,,
0.961,1.022,-1.443789,,,,
-5.789,-7.228,-0.199438,,,,
1.811,-5.728,0.006331,,,,
2.361,1.522,-2.422507,,,,
1.661,-6.428,2.916231,,,,
1.311,-3.178,0.62452,,,,
-5.639,1.072,2.679077,,,,
-4.989,7.122,2.676556,,,,
-6.139,0.072,-0.658261,,,,
-1.289,-0.078,1.584051,,,,
-6.189,0.772,1.367827,,,,
-5.989,-3.028,-0.675294,,,,
-6.089,6.822,-0.172223,,,,
-6.039,1.672,-0.046224,,,,
2.411,7.372,-1.502538,,,,
