x,y,yaw,,,,,
-5.254,0.294,2.186887,,,,,
-5.704,-1.756,-0.368936,,,,,
-0.104,-0.456,-1.057038,,,,,
-2.404,-1.906,-0.90695,,,,,
-0.954,-0.706,-2.996269,,,,,
1.946,2.244,0.225844,,,,,
-5.854,1.894,2.889632,,,,,
0.196,-1.256,0.590325,,,,,
-5.404,2.294,3.127863,,,,,
-4.104,-3.706,-2.344997,,,,,
-4.254,1.144,1.114473,,,,,
-5.104,2.394,-2.510748,,,,,
1.996,0.994,-2.66203,,,,,
-0.804,0.894,1.03227,,,,,
-6.104,3.644,-1.539814,,,,,
-5.004,-1.356,-0.613821,,,,,
-3.204,3.994,1.477623,,,,,
-0.454,1.244,-1.068628,,,,,
2.646,-0.856,0.121189,,,,,
-6.704,-0.656,1.042288,,,,,
-3.604,3.194,-2.785409,,,,,
-5.954,0.144,-1.735541,,,,,
-5.654,-3.406,-1.289687,,,,,
-5.554,-0.756,-0.21181,,,,,
-4.604,-4.206,2.162294,,,,,
-6.854,0.094,-0.124128,,,,,
-4.504,-2.706,0.67376,,,,,
-1.854,-0.756,-1.420054,,,,,
-6.304,-3.106,-2.905984,,,,,
2.296,1.594,-2.728653,,,,,
-4.554,3.094,-0.033912,,,,,
-4.054,4.244,-1.112073,,,,,
-4.154,-1.356,2.738863,,,,,
-5.354,0.844,2.290073,,,,,
-3.454,-4.256,-0.564278,,,,,
-0.354,1.244,-0.36341,,,,,
-1.904,-0.956,2.215804,,,,,
-6.254,4.044,-2.524663,,,,,
-1.354,-0.406,-2.271315,,,,,
-3.554,3.444,0.219934,,,,,
-6.054,4.194,1.935209,,,,,
-1.854,-0.656,0.597932,,,,,
-5.154,-2.006,1.822971,,,,,
-5.604,-1.556,-0.734651,,,,,
-4.354,-2.156,1.892471,,,,,
-3.204,1.294,-2.082244,,,,,
1.446,-0.206,-1.87858,,,,,
-3.254,4.694,0.102087,,,,,
-5.954,3.994,-1.460984,,,,,
1.296,-0.956,-1.557703,,,,,
-4.854,-2.456,-1.06696,,,,,
-0.904,-0.706,-1.465772,,,,,
-6.204,-4.156,-1.38753,,,,,
-0.254,-0.106,-0.556725,,,,,
-3.504,2.044,2.980424,,,,,
-2.404,1.994,2.643706,,,,,
-2.954,2.344,-0.548609,,,,,
2.546,-0.456,-0.116802,,,,,
-5.354,4.744,0.747441,,,,,
-0.704,-1.606,0.664472,,,,,
-5.004,-2.806,-2.478718,,,,,
-2.404,-2.906,-2.760832,,,,,
-3.354,1.094,-1.379979,,,,,
-2.904,-4.406,-0.497158,,,,,
-5.654,1.744,2.882342,,,,,
-5.604,-2.956,0.378929,,,,,
-3.354,2.744,-3.009715,,,,,
-4.304,-2.106,-0.828642,,,,,
-4.754,-1.606,0.857421,,,,,
-3.754,-3.906,-0.17427,,,,,
1.346,-1.306,0.005751,,,,,
1.846,-0.406,2.379453,,,,,
-5.604,2.844,-1.151586,,,,,
-3.754,1.894,0.501942,,,,,
0.046,-0.756,3.1142,,,,,
-2.554,1.594,2.99129,,,,,
-3.404,1.194,-0.371909,,,,,
-3.004,1.894,-2.001924,,,,,
0.396,0.094,2.786117,,,,,
-4.304,1.844,2.581647,,,,,
-3.954,-2.656,0.015456,,,,,
-2.854,1.244,2.14877,,,,,
3.046,1.044,-3.079435,,,,,
-1.304,1.044,-1.125246,,,,,
0.296,-1.606,2.726293,,,,,
-2.354,2.994,0.704268,,,,,
-0.804,-1.556,-0.945543,,,,,
-0.454,1.844,-1.17182,,,,,
-4.654,1.644,-0.65571,,,,,
-2.504,-2.606,-0.343361,,,,,
2.996,-0.156,3.098369,,,,,
1.096,1.894,1.869496,,,,,
1.396,0.294,-2.186748,,,,,
-6.054,-2.656,2.28108,,,,,
-0.604,-1.006,2.772528,,,,,
-4.004,2.294,2.297892,,,,,
-1.704,-0.556,0.523629,,,,,
-3.054,-4.356,-3.135361,,,,,
1.746,1.794,-2.72045,,,,,
-4.254,-3.606,-1.646973,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
