x,y,yaw
-1.254000,-1.206000,0.653808
-2.754000,-2.606000,-0.236263
-6.254000,-4.456000,-1.007644
-2.854000,-1.906000,-0.260542
2.546000,1.594000,1.347496
-2.754000,-1.756000,2.753579
-4.304000,-2.456000,0.263985
-4.554000,-3.456000,-2.543111
-5.804000,4.594000,1.309449
-0.604000,0.494000,-1.827599
0.546000,0.994000,-0.927309
-6.404000,0.044000,-1.707889
2.296000,-2.006000,-0.695003
-5.854000,3.344000,-1.229846
2.246000,0.244000,0.017121
-1.304000,1.194000,0.089756
0.546000,-0.856000,2.324058
-3.404000,2.294000,1.995321
-3.704000,-1.606000,-1.808485
-1.154000,-1.456000,-1.762068
-2.304000,0.044000,-3.076543
1.896000,0.644000,0.035545
-2.804000,-1.006000,1.429876
-3.004000,-0.706000,-1.359281
-4.054000,4.644000,0.298690
-0.804000,-0.556000,1.088087
-5.754000,0.044000,-3.088252
-0.304000,0.994000,-1.633288
-2.504000,2.544000,-3.054911
-6.354000,3.394000,2.435906
-4.754000,2.444000,2.403356
-1.154000,-1.706000,1.012039
-0.904000,-0.106000,1.044741
0.446000,1.344000,-2.555726
-3.304000,-3.006000,2.317545
-3.054000,-1.656000,-0.999658
-3.104000,-1.106000,-1.814438
-4.304000,-1.956000,1.447170
1.446000,1.544000,1.275412
-4.304000,-4.206000,3.013561
1.896000,-2.006000,1.515444
-2.054000,0.194000,-0.797996
-4.754000,4.694000,-1.173254
1.496000,-1.706000,0.252819
-4.604000,3.394000,2.344271
-1.204000,1.394000,3.054738
-4.504000,-0.756000,1.270723
-1.054000,-1.456000,-2.845920
-3.504000,-2.106000,1.495925
2.346000,0.844000,-2.542112
-5.054000,-2.456000,-0.933197
-1.404000,1.894000,-0.187387
-6.654000,3.194000,-0.038597
-0.904000,-1.406000,2.794714
-4.904000,-4.006000,1.776898
-2.404000,-1.856000,1.566962
-1.504000,1.344000,-2.066158
-6.204000,-2.606000,0.414383
-3.304000,3.594000,0.793918
-4.354000,1.144000,0.951035
0.546000,-0.456000,1.640998
-5.154000,-3.206000,-3.073140
-0.554000,-2.106000,2.310844
-5.154000,-1.056000,1.831593
-6.254000,-0.256000,1.681419
-3.054000,-0.856000,-1.530366
-2.804000,-3.056000,1.647528
-3.604000,-4.556000,1.661642
-6.754000,-0.106000,1.683374
-1.904000,-1.606000,-3.137738
-5.304000,-2.006000,1.493292
-3.454000,-2.956000,-0.164870
-4.654000,3.944000,-3.116547
-5.154000,3.344000,-1.138951
-5.554000,3.694000,0.858032
-2.404000,1.944000,-1.827315
-4.204000,-1.306000,3.119389
-1.854000,2.044000,2.051721
-5.054000,3.444000,0.450585
-4.504000,3.494000,-0.686629
-1.554000,0.994000,0.711010
-5.104000,2.794000,-0.698352
-1.304000,-1.906000,-1.913137
-5.554000,2.444000,-0.937397
1.446000,1.094000,-2.160641
-4.154000,2.444000,-2.354035
-3.004000,-1.106000,1.629630
-3.754000,3.894000,-1.690392
-5.904000,3.094000,1.923493
-4.104000,-4.106000,-3.032940
-5.354000,4.644000,-0.094254
-6.054000,2.744000,-2.013870
1.996000,-0.156000,2.867467
-4.454000,-2.006000,1.321710
1.446000,-1.856000,0.741638
-0.354000,1.694000,-3.063039
-5.904000,-3.856000,1.178636
-4.754000,-3.506000,2.641534
1.246000,-0.356000,-0.637256
-5.104000,-1.506000,-0.087466
