x,y,yaw
-2.150000,0.400000,-0.395381
1.100000,0.500000,-1.289986
-6.450000,-3.700000,1.508719
0.950000,-0.200000,0.251386
-3.800000,0.200000,1.085009
1.300000,2.300000,-0.826102
1.350000,2.550000,-0.042553
1.250000,-2.350000,0.614406
2.250000,-0.100000,2.942051
-1.250000,0.050000,-0.124525
-6.300000,4.600000,-2.420254
-1.300000,0.050000,-2.982220
-6.500000,-1.400000,2.403896
1.900000,3.750000,0.249275
-5.550000,-1.000000,0.786606
-5.200000,-0.150000,-2.359179
2.550000,-2.900000,1.094936
-2.800000,0.200000,-2.712168
-5.550000,0.000000,2.832740
-6.050000,-0.900000,0.188676
0.050000,1.250000,-2.851914
-1.500000,0.900000,-2.622215
-6.300000,-4.300000,1.025364
-5.450000,0.400000,-1.643216
2.400000,3.050000,-3.005448
2.100000,-1.900000,1.744554
-5.400000,2.600000,-0.437152
2.450000,-4.000000,-2.494530
1.700000,-4.050000,0.456861
1.100000,-3.800000,0.021933
-6.100000,-1.050000,3.011538
1.550000,-2.150000,-1.978210
-1.450000,-0.150000,-2.301091
-4.900000,3.350000,0.885061
-6.550000,4.650000,2.915667
-2.700000,0.650000,-1.956721
1.650000,0.200000,1.934405
-6.300000,3.250000,2.005916
-6.350000,-2.400000,2.133528
2.000000,3.350000,2.647054
-3.100000,0.900000,-2.858724
1.950000,3.750000,2.530204
-6.250000,1.750000,-0.102722
2.050000,-0.850000,1.293129
2.250000,0.950000,3.010051
-4.850000,2.550000,1.446421
-6.150000,1.950000,-0.044153
0.500000,0.050000,1.026508
-5.650000,-1.850000,1.011442
1.900000,3.950000,1.973811
-2.400000,-0.050000,-1.425670
0.700000,0.750000,-2.374550
-5.700000,2.600000,1.988248
-3.950000,-0.350000,2.440962
-1.950000,0.600000,-2.113459
-5.300000,-2.650000,-1.251701
2.250000,-1.050000,0.572173
2.400000,2.650000,-0.885700
-6.400000,-1.850000,0.974860
-4.950000,-1.850000,-2.362034
-2.650000,0.650000,2.422391
-4.100000,0.450000,-0.268891
-5.750000,0.350000,-2.082427
1.700000,1.250000,-0.176155
-4.350000,0.950000,-2.558890
1.300000,-2.250000,-1.113837
2.150000,-3.550000,1.763995
1.900000,-0.300000,-1.440963
-5.000000,2.850000,-1.970022
-5.450000,-0.750000,0.965995
0.650000,1.350000,0.434724
2.150000,-1.350000,-2.479386
-5.150000,4.850000,-1.698960
1.550000,3.450000,-0.828140
2.350000,3.850000,2.526970
-3.750000,0.850000,2.313590
2.300000,-3.900000,-0.580386
-4.150000,1.200000,1.617335
-5.250000,-4.100000,0.777128
-1.650000,0.750000,1.695172
0.950000,4.300000,2.027881
-5.950000,1.200000,-1.676427
-0.150000,0.200000,0.627393
-2.650000,-0.150000,-1.973654
-0.700000,0.400000,1.072272
2.400000,-2.750000,-1.906486
-6.000000,5.050000,0.771564
2.350000,2.600000,-1.831356
-5.800000,4.350000,2.572190
-5.800000,2.750000,-3.099692
0.950000,2.500000,-0.283652
-6.650000,-1.650000,-1.298262
2.300000,-3.050000,0.313422
-1.700000,0.900000,-2.362260
-6.550000,0.600000,-2.937226
-6.200000,3.850000,0.701795
-5.700000,4.950000,-3.102833
-6.100000,4.700000,-1.728169
1.650000,-3.550000,-0.238836
-6.350000,2.300000,2.052913
2.550000,1.050000,2.110810
2.250000,-3.600000,2.733360
-1.150000,0.950000,-1.187096
-6.350000,2.750000,-1.255543
-0.250000,0.800000,1.553456
1.600000,0.900000,-2.840838
0.300000,0.350000,-2.954677
-6.250000,-3.900000,-0.864492
-5.600000,3.050000,1.581683
1.700000,0.050000,-1.064155
-1.600000,-0.100000,-1.487006
2.400000,0.050000,0.711834
1.500000,-2.300000,-0.505225
2.000000,3.850000,-1.982876
-5.650000,4.750000,-2.000094
1.550000,-2.600000,-1.216446
-3.500000,0.400000,-2.268014
-4.850000,-2.000000,-2.506484
-5.900000,0.450000,-2.902317
-1.450000,-0.400000,-0.902134
-5.450000,-3.700000,0.414218
-6.650000,4.100000,1.925802
-5.050000,0.750000,0.294501
-1.150000,0.900000,-0.217280
-4.200000,0.250000,1.810306
0.800000,-1.150000,-1.550557
0.900000,-1.050000,1.765501
-1.000000,-0.300000,3.065790
1.300000,-1.700000,2.319838
-2.300000,0.000000,-2.092144
-0.800000,0.100000,-0.746218
0.950000,4.850000,-2.334651
-0.950000,0.000000,2.784726
1.900000,3.300000,1.127018
-6.550000,-2.500000,1.764277
0.200000,-0.500000,-0.493329
0.950000,-0.050000,0.508136
-6.050000,1.150000,3.130994
1.850000,-0.950000,-3.043450
-5.400000,2.050000,0.152543
2.150000,1.800000,-2.126848
1.000000,-1.500000,-0.774580
2.550000,5.050000,2.592026
-5.700000,1.250000,-2.113091
-1.350000,-0.300000,0.744062
2.450000,-2.100000,1.659866
2.600000,-0.950000,0.260462
2.200000,4.650000,1.823356
-6.100000,-2.350000,0.165157
1.650000,-2.250000,-2.981341
-6.450000,2.400000,-1.746027
1.400000,3.400000,1.474734
2.450000,4.050000,1.624946
-5.200000,1.850000,2.245048
0.350000,0.150000,2.471710
2.200000,4.600000,-2.099859
-6.300000,-0.350000,-0.198506
-1.150000,0.750000,-0.685585
1.650000,3.400000,2.951425
2.200000,-0.150000,-1.408662
-4.850000,2.000000,1.972295
0.850000,3.800000,0.471046
-5.550000,-0.050000,0.103991
