x,y,yaw
-1.200000,0.400000,-1.205673
-0.100000,0.300000,2.374502
-0.800000,0.500000,-0.965849
-5.600000,5.450000,1.652168
-6.600000,-0.200000,1.334319
1.000000,5.400000,1.347236
0.950000,-3.250000,3.101495
-0.450000,1.100000,-0.734951
-5.950000,-2.150000,1.251279
-5.550000,3.300000,0.966599
1.350000,4.850000,-2.782362
1.800000,0.000000,2.251337
-4.850000,3.250000,2.183102
1.250000,3.300000,-0.341855
-5.750000,0.400000,0.609982
-0.450000,0.600000,-1.834170
-6.150000,2.300000,-2.074531
1.000000,4.000000,2.675597
-6.650000,-0.150000,-0.468610
0.700000,1.350000,2.213191
2.400000,-1.000000,-0.254885
0.300000,1.300000,-0.992665
2.500000,-0.300000,1.572594
1.700000,-2.450000,-0.878524
1.150000,3.450000,3.131086
1.350000,-1.100000,1.433407
-2.500000,0.000000,2.804426
1.000000,4.000000,2.111486
-3.450000,0.950000,-0.005638
-6.600000,5.050000,-0.800365
2.550000,5.300000,1.605256
1.200000,3.550000,-3.050985
-3.450000,0.900000,0.530962
-5.850000,-2.800000,-2.467266
2.050000,3.050000,1.042740
1.000000,1.800000,-2.301171
-6.600000,1.500000,2.552816
2.450000,-2.100000,0.304866
2.550000,1.000000,-0.412890
-5.450000,-2.100000,2.036569
-4.550000,0.750000,1.637031
1.600000,-0.850000,1.550645
1.900000,3.900000,0.965589
-5.700000,-0.450000,-2.885000
0.100000,1.800000,2.324175
-5.900000,2.800000,1.942563
-5.700000,-2.150000,1.739697
1.950000,5.400000,3.131687
1.400000,2.800000,0.211758
1.150000,-1.500000,-1.071797
-5.950000,2.450000,-0.690372
-6.650000,-0.100000,-0.157791
0.900000,5.350000,-2.760132
-4.100000,0.100000,-2.464396
2.650000,-1.100000,-2.536960
-0.650000,1.050000,-2.753329
-0.750000,0.600000,-1.970716
2.600000,-1.250000,-1.848086
1.600000,4.200000,2.617481
-6.400000,1.350000,-1.559871
-5.550000,5.000000,2.030568
0.100000,0.650000,-2.626860
-5.500000,4.200000,0.767283
-5.450000,0.550000,0.493932
0.950000,1.500000,2.301772
-4.950000,5.400000,1.974550
2.000000,1.800000,3.086908
-1.800000,0.800000,-1.226674
0.350000,0.750000,2.302257
-3.150000,1.000000,2.051274
0.000000,1.750000,2.738753
-5.600000,1.300000,-2.645835
-5.450000,3.600000,-0.427586
2.250000,2.850000,3.011090
1.400000,4.650000,2.644082
-4.300000,1.500000,1.721408
1.250000,2.100000,1.454626
-5.600000,5.050000,0.227812
1.700000,3.100000,-0.039494
-0.450000,0.700000,2.199727
-1.900000,1.050000,-1.456136
-4.850000,-0.200000,1.910685
-5.750000,-0.200000,1.003527
-4.600000,0.750000,-2.145626
-1.350000,1.150000,0.488883
-5.450000,1.050000,-1.490587
2.050000,3.050000,-0.620909
1.100000,2.250000,-3.044650
-5.000000,-2.350000,0.655144
2.600000,-0.700000,1.293859
1.050000,0.300000,-1.493145
-5.250000,-1.000000,2.429764
-1.200000,0.000000,2.705859
1.100000,-2.000000,-2.673185
0.950000,1.700000,2.566714
2.000000,2.750000,-1.820884
1.750000,4.850000,0.217277
-4.950000,-3.450000,-0.866247
1.400000,-3.200000,2.060496
2.600000,-3.750000,-1.538641
1.750000,-1.700000,-1.458240
-4.850000,3.000000,0.600103
2.500000,-0.500000,-0.372646
1.150000,-2.150000,-2.710404
-1.150000,1.600000,-1.995185
-3.350000,0.350000,-0.832999
-6.550000,3.200000,-0.816180
2.450000,0.300000,-1.865330
1.100000,0.950000,-2.272804
-5.250000,-3.400000,0.278373
-2.200000,0.150000,1.518518
-3.200000,0.050000,1.604611
-6.550000,-2.800000,-2.005135
2.400000,3.050000,-0.090563
1.000000,4.050000,-0.160565
1.650000,1.750000,1.713730
-1.450000,1.650000,0.188384
