x,y,yaw
-4.789000,1.572000,0.923173
-4.989000,4.522000,0.791775
1.761000,3.572000,-1.049609
2.061000,-4.228000,-2.808870
1.111000,-1.378000,-2.776956
2.361000,-7.978000,2.272823
1.261000,7.272000,-2.661819
2.461000,0.972000,-2.606490
-5.289000,-6.528000,-2.047039
1.911000,2.272000,2.463677
1.761000,-5.978000,1.632614
-5.489000,-8.678000,0.502709
-6.289000,-0.828000,0.715338
-6.039000,4.772000,-2.063852
-2.289000,0.322000,2.941123
-6.339000,4.022000,0.410722
1.711000,-8.778000,0.049778
2.161000,3.422000,0.131114
-6.239000,2.172000,-1.832410
1.011000,5.522000,0.811094
1.161000,-1.028000,-1.544912
-5.539000,6.322000,-0.021006
-4.939000,-5.628000,-2.356406
2.361000,7.022000,-0.269168
1.361000,5.722000,2.192906
-4.889000,-6.178000,-2.486656
2.261000,0.822000,-2.666766
-5.139000,-0.478000,-2.696729
-5.639000,-7.978000,2.782249
-6.439000,-0.028000,0.139322
2.011000,-4.428000,-0.611383
-5.439000,7.322000,1.878215
-6.239000,-5.528000,2.910801
0.261000,-0.028000,0.806304
1.461000,0.122000,1.322824
2.261000,-6.928000,1.250715
-5.139000,-4.028000,2.137664
-6.289000,5.872000,-2.991984
1.661000,4.372000,-0.648776
-5.839000,0.172000,-2.812235
1.511000,2.622000,-0.582441
-6.189000,-6.778000,2.570115
2.411000,4.422000,-2.939844
-5.789000,-3.978000,1.995159
1.161000,2.622000,1.198039
1.461000,-2.278000,2.049315
-5.539000,0.772000,-2.820997
-0.289000,-0.828000,0.372378
2.561000,3.272000,0.100741
2.261000,4.922000,-1.663402
-0.139000,0.822000,1.151206
-4.839000,6.422000,-2.316609
1.011000,-7.028000,0.312717
-6.439000,-6.978000,-2.901727
-1.589000,-0.778000,-0.102515
-6.539000,-1.178000,3.102327
-6.439000,-6.378000,-0.947925
1.761000,-1.828000,0.943573
-5.939000,-4.178000,-0.674573
-6.189000,-7.328000,-2.530046
2.211000,-0.378000,0.202361
-1.789000,-0.178000,-0.976576
-6.039000,0.772000,-0.858722
1.611000,1.272000,-1.994369
2.511000,-4.378000,-2.662260
2.311000,-6.478000,-2.787600
2.361000,5.972000,1.846189
-4.939000,-3.628000,1.907168
1.111000,-3.328000,-0.080227
1.561000,1.772000,0.067478
-4.889000,-1.978000,2.066532
-6.289000,-6.928000,-1.799328
-4.939000,2.322000,0.193549
0.961000,-2.428000,0.732081
1.161000,-3.428000,-0.944160
-5.689000,6.722000,-1.711072
2.311000,1.222000,0.996456
-6.089000,3.672000,-2.791562
-6.289000,-5.278000,1.479536
2.261000,3.022000,0.091256
1.811000,-7.078000,-1.160393
2.111000,-3.328000,2.708574
2.311000,2.722000,1.468462
1.761000,1.772000,-2.150836
-4.239000,0.172000,-0.307813
0.961000,1.022000,-1.443789
-5.789000,-7.228000,-0.199438
1.811000,-5.728000,0.006331
2.361000,1.522000,-2.422507
1.661000,-6.428000,2.916231
1.311000,-3.178000,0.624520
-5.639000,1.072000,2.679077
-4.989000,7.122000,2.676556
-6.139000,0.072000,-0.658261
-1.289000,-0.078000,1.584051
-6.189000,0.772000,1.367827
-5.989000,-3.028000,-0.675294
-6.089000,6.822000,-0.172223
-6.039000,1.672000,-0.046224
2.411000,7.372000,-1.502538
-6.189000,-3.078000,-0.775833
1.811000,-5.478000,0.989905
1.761000,4.172000,0.199541
-6.389000,5.922000,2.239001
1.911000,-6.978000,-1.645447
-0.689000,-0.478000,1.013039
2.011000,-0.728000,1.964370
-5.739000,-8.928000,1.622101
2.511000,2.172000,-1.300200
-2.989000,0.172000,-0.239223
-5.089000,-5.528000,-0.290626
-5.689000,5.522000,1.741577
1.061000,-1.828000,1.601654
-3.039000,-0.378000,2.669390
2.411000,4.722000,1.424347
-6.239000,4.972000,1.587686
-5.639000,0.972000,-2.751154
-5.989000,7.872000,-0.992462
2.461000,-4.328000,2.077481
1.461000,1.572000,-0.159267
-0.289000,-9.728000,-2.536801
-6.289000,1.422000,-0.255054
-5.239000,-7.978000,0.271839
2.211000,3.372000,2.233579
1.761000,-1.828000,1.579067
1.861000,-8.278000,2.939920
-5.439000,4.022000,-2.452787
-5.289000,-9.878000,-0.234012
-3.389000,-0.528000,-0.814462
-5.089000,-5.728000,2.902003
1.511000,-6.178000,1.580916
-6.039000,5.972000,-1.428994
-4.889000,2.872000,0.080784
-6.039000,7.172000,0.716887
1.661000,4.222000,-1.506295
-5.139000,2.172000,2.813757
0.361000,-0.028000,0.099299
-5.689000,-2.678000,1.547959
-5.839000,1.622000,-0.481195
-0.339000,0.622000,0.132868
2.511000,3.272000,1.196123
-6.289000,4.922000,2.564100
-5.939000,6.872000,1.310153
2.661000,6.922000,-1.250816
-6.139000,4.522000,2.530734
1.461000,2.672000,-2.115961
-6.139000,-2.878000,2.679872
-4.839000,7.122000,-1.872693
1.011000,-7.578000,2.517083
-4.889000,-4.378000,-0.802752
2.361000,-1.928000,1.252369
1.461000,-7.378000,2.048356
2.161000,7.472000,1.969442
-6.389000,-0.628000,-2.197007
-6.489000,3.872000,1.124480
-5.639000,5.872000,0.871341
-6.239000,-2.978000,-1.863178
-4.889000,-1.478000,1.017012
1.061000,-7.228000,1.127273
-4.839000,-0.928000,-2.252705
0.861000,-7.178000,-3.127058
-4.489000,-0.578000,-1.527767
-5.539000,-7.128000,-0.828247
0.861000,-2.678000,1.095633
2.561000,2.072000,0.212226
1.811000,7.372000,1.009175
-5.539000,5.122000,0.413527
-1.139000,-1.628000,-2.644115
-5.289000,-8.378000,2.475236
-4.789000,-6.128000,-0.673066
1.011000,-1.228000,3.013988
-4.639000,-0.678000,2.397270
-6.289000,3.572000,2.914809
1.061000,-6.528000,2.895389
-5.689000,-7.778000,-0.947396
-5.339000,2.822000,-2.146921
0.911000,-7.628000,-1.108064
-4.139000,-0.228000,-2.934808
1.211000,-8.128000,-0.927930
-6.089000,0.522000,-1.293241
2.011000,6.622000,-1.965282
1.961000,-7.778000,2.918772
-4.739000,0.922000,-1.044795
-6.539000,3.922000,1.408454
2.361000,5.872000,1.456011
-5.889000,1.372000,1.716218
2.011000,0.372000,0.988609
-6.089000,4.122000,-1.299808
-4.839000,5.772000,-1.583413
1.111000,-4.328000,2.763401
1.011000,4.122000,1.378987
2.461000,0.972000,1.552301
0.361000,-9.628000,1.956996
1.461000,1.372000,-0.788067
-6.539000,-5.228000,-1.870286
0.711000,-0.178000,-1.802500
0.711000,-0.878000,-1.319107
1.011000,-8.678000,0.675876
-2.039000,-0.478000,2.737253
2.261000,0.372000,-1.538183
1.411000,5.672000,2.182262
-4.839000,3.672000,2.297433
1.661000,-4.328000,-1.240248
-4.989000,-6.178000,-0.814362
2.461000,3.672000,3.075633
-2.489000,1.872000,2.497864
2.211000,5.622000,-2.291550
-6.289000,-2.778000,-2.754195
2.611000,1.322000,2.539192
1.261000,-1.978000,-1.759235
-5.239000,-1.028000,-1.193840
-4.439000,-0.378000,2.102156
-2.639000,0.222000,-0.731051
-2.539000,-0.628000,2.665603
-5.939000,4.922000,3.095538
-6.239000,2.222000,2.899671
-0.389000,-0.828000,-1.165116
2.311000,-3.778000,-2.673101
2.161000,-4.578000,-1.927885
2.061000,-6.828000,0.684214
2.261000,1.922000,-2.486345
0.911000,-5.778000,1.531684
1.711000,5.922000,-1.173558
-5.489000,-4.078000,2.622701
0.961000,-5.528000,-2.154261
2.111000,1.022000,-2.790726
0.961000,1.122000,-2.578417
-5.939000,7.622000,2.653631
-5.989000,0.922000,-1.223222
-6.289000,5.422000,2.173671
2.011000,-5.428000,1.731277
-1.539000,0.222000,-0.719595
1.311000,0.422000,-0.372084
-6.289000,-5.728000,2.613040
-5.839000,-1.578000,2.026451
2.111000,-7.378000,0.204634
2.261000,-3.328000,-1.390157
1.811000,-0.628000,-2.026959
-6.189000,-2.528000,0.516160
1.511000,1.672000,-0.200023
1.011000,-2.728000,2.931926
1.311000,-0.428000,-0.753689
2.411000,-7.528000,-1.161432
-5.039000,-6.128000,-0.452279
-6.389000,-6.328000,-0.886158
-6.389000,3.422000,0.348966
-6.089000,4.122000,-2.034487
-5.689000,-7.678000,-2.801510
-4.939000,-5.028000,2.983883
1.661000,0.222000,-2.427501
1.361000,-6.228000,2.183878
-4.889000,-7.978000,1.552232
0.911000,-7.278000,1.890391
-6.189000,-3.978000,-0.469927
1.761000,7.072000,-0.594824
-5.939000,-5.478000,-2.880733
-4.489000,-0.778000,-0.147087
1.211000,-1.978000,2.657335
-6.389000,-3.878000,2.755077
-6.389000,3.072000,-1.281910
-4.789000,6.622000,-2.614372
2.411000,5.022000,-0.505910
-5.689000,-7.778000,0.274091
-5.389000,-6.128000,-0.691968
-6.339000,0.372000,-2.281818
2.361000,-2.578000,0.570891
-5.489000,2.472000,-1.993581
-0.239000,0.522000,0.427680
-3.939000,0.372000,0.398693
-5.939000,-1.128000,1.576076
-5.539000,-7.178000,-1.513541
-5.039000,-3.978000,2.601327
2.411000,-1.978000,-1.274381
-5.239000,4.572000,2.524532
-6.039000,4.622000,-2.283460
1.911000,-7.678000,-1.451930
1.661000,0.772000,2.700400
-0.189000,-0.178000,1.609938
2.011000,-6.378000,-1.733344
1.011000,-2.428000,0.274441
1.961000,1.722000,-2.833535
0.811000,-5.678000,-2.955032
2.661000,8.622000,1.461711
1.861000,-8.828000,-0.399945
1.311000,-5.178000,0.036485
0.961000,-7.428000,2.052064
-5.089000,-2.178000,0.331563
-5.339000,3.972000,0.116083
-3.989000,-0.478000,0.950769
1.211000,-2.328000,1.130024
-2.939000,0.172000,2.693733
-5.139000,4.572000,1.495354
-4.839000,6.872000,-3.015912
-6.239000,1.922000,-1.458650
-4.839000,3.272000,-0.973655
1.911000,-3.078000,1.564897
0.711000,-0.378000,-1.093961
-5.739000,7.622000,-0.745480
-3.239000,0.072000,-1.538158
-4.839000,-1.978000,-2.529964
-5.639000,0.372000,2.537399
-4.989000,0.122000,1.517856
-4.889000,-1.528000,-1.078300
-5.039000,-1.678000,-1.542371
2.061000,-4.328000,1.669329
-6.239000,-4.328000,-1.769907
-4.589000,-0.328000,0.035697
0.561000,0.272000,2.620817
-5.889000,-4.528000,-2.143030
1.211000,4.722000,-0.657830
-4.839000,-2.428000,1.411931
0.211000,-0.678000,2.542222
0.111000,0.172000,-0.572150
-5.489000,2.322000,2.261917
1.961000,3.922000,0.228826
-3.289000,-0.178000,1.452756
1.311000,3.922000,1.288295
-6.089000,-3.928000,-0.106426
1.711000,-0.728000,1.173012
-5.139000,-0.478000,1.981417
1.161000,-3.978000,-2.009885
2.261000,2.072000,-2.504789
2.461000,2.622000,-1.349486
2.061000,0.522000,2.596494
-5.139000,5.772000,1.160584
-5.739000,1.572000,1.655860
-5.289000,7.022000,0.856243
2.361000,2.022000,1.905572
-6.239000,7.972000,-1.039607
1.011000,-9.778000,-0.186252
-5.789000,-6.328000,2.140377
-5.839000,-3.678000,0.350698
1.911000,7.122000,1.002205
-6.239000,8.422000,1.213131
1.611000,-4.428000,-1.369564
-5.939000,3.472000,0.487143
-5.389000,-2.228000,2.123339
1.511000,2.922000,2.590453
-1.539000,-0.578000,-0.961956
1.761000,-4.728000,0.209733
1.211000,-6.128000,2.535223
1.961000,-4.228000,1.072167
-4.189000,-0.778000,0.453442
1.611000,6.672000,-1.187011
-2.239000,-0.128000,-1.098182
-5.689000,-7.878000,-2.296869
-5.539000,5.572000,-1.234212
1.761000,-3.978000,1.751191
-6.189000,-1.978000,-1.417191
-6.239000,-8.578000,1.620722
2.461000,5.322000,1.897003
-4.239000,0.522000,-1.671478
2.461000,-1.478000,0.483460
-4.789000,6.872000,-2.052002
1.211000,1.822000,-3.117973
1.811000,-8.278000,-0.831233
1.411000,-1.628000,-2.733664
-5.139000,5.672000,0.600404
-5.589000,7.422000,1.505940
-4.889000,-0.078000,-0.486200
-5.589000,6.022000,-1.515177
0.011000,0.472000,-2.065550
2.411000,-5.478000,-2.551033
-5.939000,-2.228000,1.906487
-1.739000,0.672000,-2.732728
-5.339000,-2.128000,1.023288
2.361000,-2.878000,-2.095999
1.061000,-3.828000,0.023358
0.711000,0.872000,-1.399063
-2.339000,-0.178000,0.693461
-5.689000,-7.028000,0.002718
0.961000,-3.178000,-0.483640
1.311000,6.172000,2.458806
-6.039000,-4.978000,-0.690835
-5.889000,3.172000,-1.831040
1.411000,-7.178000,-0.861129
2.461000,-1.028000,0.670111
2.061000,0.422000,-0.475913
1.111000,6.822000,1.684627
2.011000,-5.578000,2.126652
-5.239000,4.772000,3.119155
-5.889000,-8.428000,1.099145
-5.689000,6.122000,2.501812
-4.839000,-1.428000,1.361958
-3.139000,0.622000,-0.936324
-4.839000,-5.628000,-2.979282
-5.989000,-4.028000,-2.867397
-5.989000,-2.978000,2.612427
-5.339000,-4.078000,-1.862863
-5.589000,-8.228000,-0.251574
1.661000,-1.228000,-1.708884
-6.439000,-1.478000,2.266359
2.461000,-7.528000,1.714557
-0.739000,0.722000,3.056867
1.611000,-2.528000,2.428568
0.811000,-9.778000,0.282630
-4.939000,-2.028000,2.611471
2.411000,6.822000,-2.328779
1.511000,-1.178000,-0.189365
1.911000,-0.178000,2.157060
-4.939000,-7.578000,-2.635345
-0.389000,0.822000,-2.096016
-5.139000,1.172000,-0.124207
-4.939000,4.022000,-2.341539
-2.189000,0.722000,-3.075055
1.611000,3.322000,2.085319
2.211000,7.222000,0.489358
-4.889000,-7.828000,-2.088237
-5.789000,-6.978000,-2.996754
1.161000,0.372000,-1.105906
-6.489000,2.772000,-2.623121
-1.189000,0.522000,-2.760974
1.111000,-5.828000,-2.414474
-6.389000,-1.878000,2.714829
1.811000,-1.328000,-1.394922
-0.739000,-0.178000,1.157436
-5.889000,-6.528000,0.518786
1.161000,4.572000,-2.692156
2.261000,-6.528000,-2.042953
-5.839000,1.222000,-0.715084
-6.239000,4.772000,1.321183
-1.689000,-0.578000,-1.092457
-5.289000,1.972000,2.329133
-5.039000,4.622000,0.306165
1.761000,6.172000,-1.135837
1.161000,-3.828000,1.597725
0.461000,0.472000,0.256644
2.261000,-6.828000,0.134810
-6.239000,-6.178000,1.983937
0.711000,-8.378000,-1.983368
-6.339000,2.622000,2.218922
-2.839000,-0.778000,-1.322292
-1.739000,0.772000,1.910318
1.911000,-6.378000,-1.171929
1.161000,6.822000,-1.442807
0.961000,-4.578000,1.724241
-1.739000,0.572000,-0.012790
-6.489000,-6.328000,1.330948
-4.989000,-6.178000,-0.649999
1.661000,3.772000,-0.807128
-6.439000,5.072000,-2.740169
-5.539000,6.672000,1.667788
1.761000,7.322000,0.225905
0.761000,-7.228000,2.272378
2.061000,-1.428000,1.928610
1.311000,5.372000,2.205080
-5.839000,-6.478000,-2.675321
-5.789000,-8.678000,-1.646296
2.161000,-0.978000,-0.516603
-6.239000,-3.278000,-0.345866
0.761000,-0.078000,-2.948880
-3.339000,0.822000,0.425164
-5.039000,-1.878000,2.458011
-6.089000,-1.428000,1.821859
1.911000,0.972000,-3.094934
2.261000,-4.728000,2.329980
0.761000,-7.928000,-1.303360
2.411000,6.122000,-0.950837
0.911000,-0.178000,-2.616508
