x,y,yaw
1.464000,-9.644000,-0.411936
-5.436000,-7.644000,-0.264043
2.664000,-0.794000,-0.764752
-0.886000,-0.044000,-1.382113
-5.836000,3.256000,1.313742
2.314000,-4.844000,-1.847194
-5.686000,-8.644000,-2.356837
2.114000,-10.394000,2.718127
-6.186000,-0.144000,-2.902127
-6.636000,9.306000,1.291669
2.664000,-2.844000,-1.048387
2.514000,-6.094000,3.114980
-5.436000,9.406000,0.319255
1.664000,2.906000,-1.121582
2.564000,-3.694000,-1.827997
2.014000,2.256000,-2.011493
1.714000,-3.494000,-0.616595
2.564000,-3.244000,0.380418
-6.136000,6.106000,2.792928
-1.586000,-0.344000,-0.092668
2.464000,8.006000,2.129945
-5.186000,-6.394000,1.421495
1.214000,-9.344000,-3.109980
1.114000,-5.444000,1.135479
-2.936000,1.106000,0.074258
1.114000,-9.794000,0.153159
1.114000,1.106000,-0.591066
1.564000,4.756000,0.282747
1.464000,-7.444000,2.097535
1.764000,-9.694000,-0.687576
2.364000,-11.094000,2.114137
1.764000,-3.444000,-0.283438
1.814000,4.756000,-2.654336
1.764000,-9.094000,-0.352836
1.564000,-6.844000,-3.084580
-5.086000,6.206000,-2.894950
-6.286000,-2.844000,-3.079287
-6.436000,-7.194000,1.598848
-5.986000,2.906000,-2.335968
-6.436000,-5.294000,2.081196
-6.586000,-4.544000,2.874253
-6.286000,9.406000,-2.652627
-5.536000,-2.444000,-2.134780
-6.286000,3.356000,2.865276
1.614000,-4.344000,-1.597755
1.314000,-7.844000,1.961450
2.564000,6.556000,2.918970
2.514000,-7.544000,-2.308488
2.664000,-7.994000,-2.855686
-4.886000,-6.644000,-0.139324
2.664000,7.356000,-1.133275
1.014000,1.006000,0.478491
-5.086000,8.306000,0.641121
-5.536000,7.906000,-0.113290
1.914000,-4.994000,2.488583
1.414000,-6.044000,2.120106
0.964000,-9.044000,-1.190430
-0.986000,-0.594000,-1.516782
2.264000,-10.394000,-3.133232
-4.986000,-8.994000,-0.139745
-6.486000,-6.644000,-1.263448
2.164000,-1.794000,0.266341
1.214000,8.706000,0.774690
-6.486000,1.556000,-2.041539
-6.186000,5.206000,-0.488002
-4.836000,-5.994000,-1.142148
2.364000,-0.894000,2.322535
1.064000,-10.994000,2.907648
-5.686000,-1.294000,-2.608572
2.014000,-6.744000,-0.699880
-5.836000,-4.744000,-0.887695
-5.536000,-4.194000,-2.588380
0.414000,0.906000,2.650645
0.014000,0.206000,-2.108984
1.714000,-7.894000,2.353440
-6.286000,-10.044000,-2.939581
1.964000,5.206000,-2.083770
1.864000,6.906000,-2.037918
-5.036000,-2.494000,2.135765
2.414000,7.956000,-0.986051
-6.086000,-8.544000,1.226489
1.014000,-9.894000,0.175619
-5.886000,-2.094000,-2.711057
2.264000,3.556000,0.929423
-5.336000,-1.494000,0.259894
-6.186000,-1.094000,-2.000414
-6.486000,-6.344000,-0.546034
1.864000,0.406000,2.533194
2.464000,-8.844000,-2.801649
1.414000,4.356000,-1.166919
-6.136000,5.706000,-1.047144
1.664000,-8.694000,-1.918997
0.914000,2.506000,1.885797
-0.436000,0.156000,-0.070522
2.464000,2.056000,0.113221
-6.636000,10.056000,-0.849776
-5.686000,-11.394000,-2.515285
-5.036000,-2.944000,-2.395266
1.914000,-4.694000,-0.845914
1.664000,8.356000,1.950318
-5.386000,8.156000,-0.721940
2.114000,7.106000,2.746882
1.764000,6.806000,-2.022670
-5.086000,-10.244000,-2.926692
2.514000,0.856000,0.101841
-5.836000,-4.544000,-0.761983
1.964000,-1.644000,-0.152174
-5.936000,1.456000,-2.490486
-5.936000,-0.794000,1.075260
2.364000,-1.944000,0.356485
-0.786000,1.106000,0.904740
-4.736000,-6.044000,-1.228318
-5.836000,-3.994000,1.742650
0.314000,1.006000,-1.044861
-5.986000,-5.744000,0.674730
-5.086000,6.306000,-2.532487
2.114000,-1.994000,-0.282658
0.964000,-2.044000,-0.866675
-1.086000,0.606000,-2.047173
-5.836000,-11.194000,2.537361
-5.336000,-2.894000,-2.984494
2.264000,-1.794000,-2.663859
-0.286000,0.256000,-0.357107
-4.936000,1.456000,0.698271
2.064000,2.756000,-0.271037
-6.186000,3.806000,1.327124
2.514000,5.256000,2.735969
1.414000,8.956000,-1.114519
-2.836000,-0.344000,2.450888
-6.386000,1.606000,2.201695
-5.536000,-7.594000,-3.028227
0.864000,9.206000,1.400620
-3.686000,0.106000,2.598985
-4.936000,1.856000,1.009592
-5.986000,-3.294000,-1.854078
1.664000,-6.394000,1.182531
-5.686000,6.756000,0.544372
1.914000,3.956000,-0.366187
2.614000,3.406000,-0.876151
-4.986000,4.606000,0.528125
-6.286000,8.906000,3.056478
1.964000,2.756000,2.753852
2.514000,-2.994000,0.282768
-6.336000,-3.894000,-1.689593
-6.136000,-2.094000,-0.647102
-6.036000,3.656000,0.992856
-6.286000,-5.344000,1.671084
1.864000,4.306000,1.633606
-2.436000,0.656000,0.646998
-4.936000,6.906000,-2.000147
-6.386000,6.556000,-3.036672
1.314000,-5.944000,1.053805
-6.286000,8.156000,-1.571968
-3.936000,0.706000,-1.245085
-3.236000,-0.194000,-2.153890
0.364000,0.256000,-1.706455
-4.886000,-4.544000,3.066186
1.214000,-9.044000,0.239967
1.364000,8.406000,-0.123143
2.364000,-3.344000,-3.072119
1.314000,8.256000,0.870622
-5.236000,-3.444000,2.374354
2.314000,7.706000,0.320773
1.564000,-9.644000,2.592652
-4.386000,-0.394000,0.218484
2.314000,-3.144000,-1.801140
2.414000,7.806000,0.644553
