x,y,yaw
-5.254000,0.294000,2.186887
-5.704000,-1.756000,-0.368936
-0.104000,-0.456000,-1.057038
-2.404000,-1.906000,-0.906950
-0.954000,-0.706000,-2.996269
1.946000,2.244000,0.225844
-5.854000,1.894000,2.889632
0.196000,-1.256000,0.590325
-5.404000,2.294000,3.127863
-4.104000,-3.706000,-2.344997
-4.254000,1.144000,1.114473
-5.104000,2.394000,-2.510748
1.996000,0.994000,-2.662030
-0.804000,0.894000,1.032270
-6.104000,3.644000,-1.539814
-5.004000,-1.356000,-0.613821
-3.204000,3.994000,1.477623
-0.454000,1.244000,-1.068628
2.646000,-0.856000,0.121189
-6.704000,-0.656000,1.042288
-3.604000,3.194000,-2.785409
-5.954000,0.144000,-1.735541
-5.654000,-3.406000,-1.289687
-5.554000,-0.756000,-0.211810
-4.604000,-4.206000,2.162294
-6.854000,0.094000,-0.124128
-4.504000,-2.706000,0.673760
-1.854000,-0.756000,-1.420054
-6.304000,-3.106000,-2.905984
2.296000,1.594000,-2.728653
-4.554000,3.094000,-0.033912
-4.054000,4.244000,-1.112073
-4.154000,-1.356000,2.738863
-5.354000,0.844000,2.290073
-3.454000,-4.256000,-0.564278
-0.354000,1.244000,-0.363410
-1.904000,-0.956000,2.215804
-6.254000,4.044000,-2.524663
-1.354000,-0.406000,-2.271315
-3.554000,3.444000,0.219934
-6.054000,4.194000,1.935209
-1.854000,-0.656000,0.597932
-5.154000,-2.006000,1.822971
-5.604000,-1.556000,-0.734651
-4.354000,-2.156000,1.892471
-3.204000,1.294000,-2.082244
1.446000,-0.206000,-1.878580
-3.254000,4.694000,0.102087
-5.954000,3.994000,-1.460984
1.296000,-0.956000,-1.557703
-4.854000,-2.456000,-1.066960
-0.904000,-0.706000,-1.465772
-6.204000,-4.156000,-1.387530
-0.254000,-0.106000,-0.556725
-3.504000,2.044000,2.980424
-2.404000,1.994000,2.643706
-2.954000,2.344000,-0.548609
2.546000,-0.456000,-0.116802
-5.354000,4.744000,0.747441
-0.704000,-1.606000,0.664472
-5.004000,-2.806000,-2.478718
-2.404000,-2.906000,-2.760832
-3.354000,1.094000,-1.379979
-2.904000,-4.406000,-0.497158
-5.654000,1.744000,2.882342
-5.604000,-2.956000,0.378929
-3.354000,2.744000,-3.009715
-4.304000,-2.106000,-0.828642
-4.754000,-1.606000,0.857421
-3.754000,-3.906000,-0.174270
1.346000,-1.306000,0.005751
1.846000,-0.406000,2.379453
