x,y,yaw
-3.986,0.956,-2.679671
-3.936,0.706,-1.245085
-3.836,1.056,0.798006
-3.686,0.106,2.598985
-3.686,0.456,-1.898171
-3.686,1.006,2.640637
-3.636,0.906,-1.278798
-3.636,-0.494,2.55425
-3.586,1.156,0.917475
-3.486,0.706,-1.486846
-3.436,0.806,-2.027202
-3.386,0.156,1.514227
-3.336,0.056,-2.01698
-3.286,1.106,2.672186
-3.236,-0.194,-2.15389
-3.236,0.756,-1.02594
-3.236,0.806,-0.309004
-3.086,-0.344,-2.486109
-3.036,0.656,0.552598
-2.986,0.756,-1.948113
-2.986,0.456,0.181228
-2.936,1.106,0.074258
-2.936,0.456,2.786002
-2.886,1.156,-1.692094
-2.836,-0.344,2.450888
-2.786,0.006,-1.839002
-2.686,0.206,1.139779
-2.536,0.956,-0.703227
-2.486,0.056,0.798403
-2.436,0.656,0.646998
-2.336,0.606,-2.847076
-2.336,0.906,0.987263
-2.286,-0.494,0.861161
-2.236,-0.044,-1.547676
-2.136,0.006,2.428464
-1.986,0.956,-1.984318
-1.986,0.906,-2.236485
-1.836,-0.344,-1.547026
-1.786,0.056,2.100057
-1.736,1.056,0.072152
-1.586,-0.344,-0.092668
-1.536,0.056,0.490677
-1.486,-0.494,1.644079
-1.486,-0.344,-2.509912
-1.486,0.606,2.128914
-1.436,-0.194,-2.709237
-1.386,-0.044,2.733233
-1.386,-0.344,-3.139894
-1.236,0.306,-1.798799
-1.236,0.406,2.885891
-1.136,0.756,-0.687569
-1.086,0.606,-2.047173
-1.086,0.156,2.755683
-0.986,-0.594,-1.516782
-0.936,0.656,0.350713
-0.936,0.906,-1.03888
-0.886,-0.044,-1.382113
-0.836,-0.294,-2.404577
-0.836,-0.444,2.697346
-0.786,1.106,0.90474
-0.786,-0.344,-2.189605
-0.736,0.356,-0.228456
-0.586,0.006,-1.541641
-0.586,1.156,-0.795445
-0.586,0.256,-0.576436
-0.486,0.556,0.948465
-0.486,0.456,-1.839593
-0.436,0.156,-0.070522
-0.436,0.506,-0.48768
-0.436,-0.344,-2.490858
-0.386,-0.194,2.23751
-0.386,-0.194,2.741197
-0.286,0.256,-0.357107
-0.286,0.656,-2.38655
-0.286,1.006,0.544031
-0.236,-0.244,0.550105
-0.186,-0.344,0.390098
-0.136,0.306,3.105626
-0.136,-0.544,-1.685909
-0.086,1.156,-0.196741
-0.086,0.056,-1.921396
0.014,0.206,-2.108984
0.014,1.156,-0.053629
0.014,-0.594,1.206197
0.014,0.656,0.344287
0.014,-0.244,3.114499
0.064,0.556,-0.516268
0.164,1.006,-1.590871
0.314,1.006,-1.044861
0.314,0.756,-1.5288
0.364,0.256,-1.706455
0.414,0.906,2.650645
0.414,0.406,2.396312
0.514,0.656,-0.360199
0.514,0.056,-2.49516
0.614,0.406,-0.016816
0.614,-0.344,-1.590858
0.614,-0.594,1.163999
0.614,0.406,0.869776
0.614,0.356,0.13557
